08/16/2017,22638 MACS CONV. STORES,34.09,,1251.07
08/16/2017,PANAGO #131,38.40,,1289.47
08/19/2017,FREEDOM MOBILE INC,107.97,,1397.44
08/19/2017,Spotify P032FB9239,9.99,,1407.43
08/19/2017,Spotify P032FA2C80,9.99,,1417.42
08/20/2017,THE CO OPERATORS PL GU ON,145.07,,1562.49
08/21/2017,REMEDY ON 109TH ST.,10.19,,1572.68
08/28/2017,DRI*ARENA,64.12,,1636.80
08/31/2017,OLD SPAGHETTI DT EDMONTON,99.93,,1736.73
09/01/2017,ADV PARKING00600007A,5.00,,1741.73
09/01/2017,MUCHO BURRITO,10.45,,1752.18
09/02/2017,SOBEYS LIQUOR #3714,34.06,,1786.24
09/02/2017,SUBWAY 14757,10.27,,1796.51
09/02/2017,TIM HORTONS 1234 QTH,12.45,,1808.96
09/03/2017,PETROCAN-2015 - 50TH AVEN,46.99,,1855.95
09/03/2017,SAFEWAY #8904,9.78,,1865.73
09/04/2017,SAFEWAY #8904,24.21,,1889.94
09/05/2017,CUBEDHOST #206953,30.10,,1920.04
09/05/2017,PAYMENT - THANK YOU,,1641.80,278.24
09/06/2017,WWW.STEAMPOWERED.COM,36.99,,315.23
09/06/2017,SHAW CABLESYSTEMS,103.95,,419.18
09/07/2017,THE CO OPERATORS #14048,1547.00,,1966.18
09/08/2017,22638 MACS CONV. STORES,7.41,,1973.59
09/08/2017,DIRECT ENERGY,202.86,,2176.45
09/09/2017,A COMPUTERS,9.98,,2186.43
09/10/2017,DOMINOS 10116,47.04,,2233.47
09/10/2017,22638 MACS CONV. STORES,3.44,,2236.91
09/15/2017,IHOP ALBERTA,46.55,,2283.46
09/15/2017,CHAPTERS 775,69.23,,2352.69
09/15/2017,NETFLIX.COM,9.99,,2362.68
09/16/2017,TIM HORTONS 1234 QTH,3.23,,2365.91
09/17/2017,TREE HOUSE INDOOR PLAY,2.61,,2368.52
09/17/2017,TREE HOUSE INDOOR PLAY,12.55,,2381.07
